id,name,coordinates
Nuremberg,"Albrecht Dürer's house, Nuremberg","11.074016,49.457162"
Erlangen,Erlangen,"11.014267,49.590717"
Baiersdorf,Baiersdorf,"11.034583,49.661089"
Forchheim,Forchheim,"11.069883,49.721306"
Bamberg,Bamberg,"10.902764,49.898813"
Eltman,Eltman,"10.663506,49.96735199999999"
Zeil,Zeil,"10.592212,50.01154600000001"
Hassfurt,Hassfurt,"10.516975,50.034381"
Theres,Theres,"10.4472,50.0192"
Untereueurheim,Untereueurheim,"10.311587,49.985798"
Mainberg,Mainberg,"10.288524,50.05751"
Schweinfurt,Schweinfurt,"10.219423,50.049205"
Volkach,Volkach,"10.230933,49.863989"
Schwarzach,Schwarzach,"10.2333,49.8"
Dettelbach,Dettelbach,"10.165725,49.803783"
Kitzingen,Kitzingen,"10.147378,49.73408000000001"
Sulzfelt,Sulzfelt am Main,"10.130096,49.707409"
Marktbreit,Marktbreit,"10.148006,49.667361"
Frickenhausen,Frickenhausen am Main,"10.086284,49.671016"
Ochsenfurt,Ochsenfurt,"10.070901,49.664002"
Eibelstadt,Eibelstadt,"10.001436,49.72556100000001"
Heidingsfeld,Heidingsfeld,"9.943695999999999,49.762609"
Wurzburg,Wurzburg,"9.953571,49.791595"
Erlabrunn,Erlabrunn,"9.843527,49.858026"
Retzbach,Retzbach,"9.823179,49.905233"
Zellingen,Zellingen,"9.817292,49.895027"
Karlstadt,Karlstadt,"9.77346,49.960478"
Gm_ºnden,Gmünden,
Hofst_§tten,Hofstätten,
Lohr,Lohr,"9.572231,49.989221"
Neustadt,Neustadt am Main,"9.568631,49.932604"
Rothenfels,Rothenfels,"9.59198,49.89174300000001"
Antwerp,Antwerp,"4.402882,51.219216"
ANTStecher,ANTStecher,
ANTFugger,The Fugger's House,"4.39815,51.21797"
ANTBurgomaster,Burgomaster's House,"4.410493,51.220654"
ANTGuild,Antwerp painters' guild hall,"4.40004,51.22136999999999"
ANTMassys,Quentin Massys' house,"4.406695,51.216433"
Stosser,Stosser,
West-Meerbeck,West-Meerbeck,
Triefenstein,Triefenstein,
Heidenfeld,Heidenfeld,
Homburg,"Homburg am Main, Triefenstein","9.623144999999999,49.791788"
Wertheim,Wertheim am Main,"9.512851,49.758604"
Prozelten,"Prozeltener Weg, M__nchberg","9.242798000000001,49.783265"
Freudenberg,Freudenberg am Main,"9.326648,49.754077"
Miltenberg,Miltenberg,"9.255921000000001,49.701929"
Branthoek,Branthoek,
Uylenberg,Uylenberg,
Obernburg,Obernburg,"9.132358,49.838178"
Aschaffenburg,Aschaffenburg,"9.152597,49.973547"
Selgenstadt,Selgenstadt,"8.971133999999999,50.043701"
Steinheim,Steinheim,"8.906852000000001,50.121369"
Kesselstadt,Kesselstadt,"8.883417,50.13011399999999"
Frankfurt,Frankfurt,"8.682126999999999,50.110922"
Mainz,Mainz,"8.247253000000001,49.992862"
Elfeld,Eltville,"8.119173,50.0289744"
Rudesheim,Rüdesheim,"7.9301124,49.98214429999999"
Ehrenfels,Ehrenfels,
Bacharach,Bacharach,"7.769451800000001,50.056877"
Kaub,Kaub,"7.765754,50.0860701"
SanktGoar,Sankt Goar,"7.713120200000001,50.1512782"
Boppart,Boppart,"7.58853,50.2311996"
Lahnstein,Lahnstein,"7.609363300000001,50.3078274"
Engers,Engers,"7.545019799999999,50.42584069999999"
Andernach,Andernach,"7.4086636,50.426057"
Linz,"Linz am Rhein, Germany","7.2808,50.5658"
Bonn,"Bonn, Germany","7.1000,50.7300"
Koln,"Cologne, Germany","7.0292,50.9424"
Busdorf,"Busdorf, Germany","6.709058,50.989871"
Rodingen,"Rodingen, Germany","6.2831,50.8958"
Frei-Aldenhoven,"Aldenhoven, Germany","6.2831,50.8958"
Freelenberg,"Freelenberg, Germany",
Gangelt,"Gangelt, Germany","5.99801,50.991951"
Susterseel,"Susterseel, Germany","5.936667,50.999722"
Sittard,"Sittard, Germany","5.867,51.017"
Stockhem,"Stockhem, Germany","5.74418,51.02363999999999"
